,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Doble tipo
169,155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False,False
170,156,Quilava,Fire,,405,58,64,58,80,65,80,2,False,False
171,157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False,False
172,158,Totodile,Water,,314,50,65,64,44,48,43,2,False,False
173,159,Croconaw,Water,,405,65,80,80,59,63,58,2,False,False
174,160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False,False
184,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,True
185,171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,True
198,183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,True
199,184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,True
201,186,Politoed,Water,,500,90,75,75,90,100,70,2,False,False
209,194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,True
210,195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,True
214,199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,True
227,211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,True
236,218,Slugma,Fire,,250,40,40,40,70,40,20,2,False,False
237,219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False,True
240,222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False,True
241,223,Remoraid,Water,,300,35,65,35,65,35,65,2,False,False
242,224,Octillery,Water,,480,75,105,75,105,75,45,2,False,False
244,226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False,True
249,230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,True
259,240,Magby,Fire,,365,45,75,37,70,55,83,2,False,False
263,244,Entei,Fire,,580,115,115,85,90,75,100,2,True,False
264,245,Suicune,Water,,580,100,75,115,90,115,85,2,True,False
270,250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True,True
276,255,Torchic,Fire,,310,45,60,40,70,50,45,3,False,False
277,256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False,True
278,257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False,True
279,257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False,True
280,258,Mudkip,Water,,310,50,70,50,50,50,40,3,False,False
281,259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,True
282,260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,True
283,260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False,True
293,270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,True
294,271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,True
295,272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,True
301,278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,True
302,279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False,True
347,318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False,True
348,319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False,True
349,319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False,True
350,320,Wailmer,Water,,400,130,70,35,70,35,60,3,False,False
351,321,Wailord,Water,,500,170,90,45,90,45,60,3,False,False
352,322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False,True
353,323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False,True
354,323,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,False,True
355,324,Torkoal,Fire,,470,70,85,140,85,70,20,3,False,False
371,339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False,True
372,340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False,True
373,341,Corphish,Water,,308,43,80,65,50,35,35,3,False,False
374,342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False,True
381,349,Feebas,Water,,200,20,15,20,10,55,80,3,False,False
382,350,Milotic,Water,,540,95,60,79,100,125,81,3,False,False
401,366,Clamperl,Water,,345,35,64,85,74,55,32,3,False,False
402,367,Huntail,Water,,485,55,104,105,94,75,52,3,False,False
403,368,Gorebyss,Water,,485,55,84,105,114,75,52,3,False,False
404,369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False,True
405,370,Luvdisc,Water,,330,43,30,55,40,65,97,3,False,False
421,382,Kyogre,Water,,670,100,100,90,150,140,90,3,True,False
422,382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,True,False
435,390,Chimchar,Fire,,309,44,58,44,58,44,61,4,False,False
436,391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False,True
437,392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,False,True
438,393,Piplup,Water,,314,53,51,53,61,56,40,4,False,False
439,394,Prinplup,Water,,405,64,66,68,81,76,50,4,False,False
440,395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False,True
465,418,Buizel,Water,,330,55,65,35,60,30,85,4,False,False
466,419,Floatzel,Water,,495,85,105,55,85,50,115,4,False,False
469,422,Shellos,Water,,325,76,48,48,57,62,34,4,False,False
470,423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False,True
506,456,Finneon,Water,,330,49,49,56,49,61,66,4,False,False
507,457,Lumineon,Water,,460,69,69,76,69,86,91,4,False,False
508,458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,False,True
518,467,Magmortar,Fire,,540,75,95,67,125,95,83,4,False,False
541,484,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,True,True
542,485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,True,True
547,489,Phione,Water,,480,80,80,80,80,80,80,4,False,False
548,490,Manaphy,Water,,600,100,100,100,100,100,100,4,False,False
557,498,Tepig,Fire,,308,65,63,45,45,45,45,5,False,False
558,499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,False,True
559,500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,False,True
560,501,Oshawott,Water,,308,55,55,45,63,45,45,5,False,False
561,502,Dewott,Water,,413,75,75,60,83,60,60,5,False,False
562,503,Samurott,Water,,528,95,100,85,108,70,70,5,False,False
572,513,Pansear,Fire,,316,50,53,48,53,48,64,5,False,False
573,514,Simisear,Fire,,498,75,98,63,98,63,101,5,False,False
574,515,Panpour,Water,,316,50,53,48,53,48,64,5,False,False
575,516,Simipour,Water,,498,75,98,63,98,63,101,5,False,False
595,535,Tympole,Water,,294,50,50,40,50,40,64,5,False,False
596,536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,False,True
597,537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,False,True
610,550,Basculin,Water,,460,70,92,65,80,55,98,5,False,False
614,554,Darumaka,Fire,,315,70,90,45,15,45,50,5,False,False
615,555,DarmanitanStandard Mode,Fire,,480,105,140,55,30,55,95,5,False,False
616,555,DarmanitanZen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,False,True
625,564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,False,True
626,565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,False,True
641,580,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,False,True
642,581,Swanna,Water,Flying,473,75,87,63,87,63,98,5,False,True
653,592,Frillish,Water,Ghost,335,55,40,50,65,85,40,5,False,True
654,593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,False,True
655,594,Alomomola,Water,,470,165,75,80,40,45,65,5,False,False
692,631,Heatmor,Fire,,484,85,97,66,105,66,65,5,False,False
713,647,KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,False,True
714,647,KeldeoResolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,False,True
721,653,Fennekin,Fire,,307,40,45,40,62,60,60,6,False,False
722,654,Braixen,Fire,,409,59,59,58,90,70,73,6,False,False
723,655,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,False,True
724,656,Froakie,Water,,314,41,56,40,62,44,71,6,False,False
725,657,Frogadier,Water,,405,54,63,52,83,56,97,6,False,False
726,658,Greninja,Water,Dark,530,72,95,67,103,71,122,6,False,True
730,662,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,False,True
731,663,Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,False,True
735,667,Litleo,Fire,Normal,369,62,50,58,73,54,72,6,False,True
736,668,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,False,True
762,692,Clauncher,Water,,330,50,53,62,58,63,44,6,False,False
763,693,Clawitzer,Water,,500,71,73,88,120,89,59,6,False,False
799,721,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,True,True
